expiry_label,underlying_tenor,value
1M,1Y,77.299999999999997
1M,2Y,97.200000000000003
1M,3Y,93.299999999999997
1M,4Y,88.200000000000003
1M,5Y,86
1M,7Y,79.799999999999997
1M,10Y,71.599999999999994
1M,15Y,66.200000000000003
1M,20Y,62
1M,25Y,60.799999999999997
1M,30Y,59.299999999999997
3M,1Y,89.200000000000003
3M,2Y,99.5
3M,3Y,95.799999999999997
3M,4Y,92.599999999999994
3M,5Y,89.400000000000006
3M,7Y,83.5
3M,10Y,76.900000000000006
3M,15Y,72.299999999999997
3M,20Y,68.900000000000006
3M,25Y,67.5
3M,30Y,66.400000000000006
6M,1Y,100.09999999999999
6M,2Y,101.2
6M,3Y,97
6M,4Y,93.299999999999997
6M,5Y,89.700000000000003
6M,7Y,84.900000000000006
6M,10Y,79.700000000000003
6M,15Y,75.599999999999994
6M,20Y,72.599999999999994
6M,25Y,71.400000000000006
6M,30Y,70.5
9M,1Y,103.3
9M,2Y,100.90000000000001
9M,3Y,96.400000000000006
9M,4Y,92.900000000000006
9M,5Y,89.5
9M,7Y,85
9M,10Y,80.200000000000003
9M,15Y,76.799999999999997
9M,20Y,74.400000000000006
9M,25Y,73.299999999999997
9M,30Y,72.799999999999997
1Y,1Y,104.7
1Y,2Y,100.90000000000001
1Y,3Y,96
1Y,4Y,92.799999999999997
1Y,5Y,89.599999999999994
1Y,7Y,85.299999999999997
1Y,10Y,81
1Y,15Y,78
1Y,20Y,76.099999999999994
1Y,25Y,75.099999999999994
1Y,30Y,74.700000000000003
2Y,1Y,99.799999999999997
2Y,2Y,95.799999999999997
2Y,3Y,92.799999999999997
2Y,4Y,90.5
2Y,5Y,88.200000000000003
2Y,7Y,84.799999999999997
2Y,10Y,81.599999999999994
2Y,15Y,79.099999999999994
2Y,20Y,77.599999999999994
2Y,25Y,76.900000000000006
2Y,30Y,76.599999999999994
3Y,1Y,95.5
3Y,2Y,92.5
3Y,3Y,90.099999999999994
3Y,4Y,88.400000000000006
3Y,5Y,86.700000000000003
3Y,7Y,84.400000000000006
3Y,10Y,82.099999999999994
3Y,15Y,79.599999999999994
3Y,20Y,78.299999999999997
3Y,25Y,77.599999999999994
3Y,30Y,77.299999999999997
4Y,1Y,92.700000000000003
4Y,2Y,90
4Y,3Y,88.5
4Y,4Y,87.099999999999994
4Y,5Y,85.799999999999997
4Y,7Y,84.099999999999994
4Y,10Y,82.299999999999997
4Y,15Y,79.900000000000006
4Y,20Y,78.700000000000003
4Y,25Y,78
4Y,30Y,77.700000000000003
5Y,1Y,90.099999999999994
5Y,2Y,88.099999999999994
5Y,3Y,87
5Y,4Y,86.099999999999994
5Y,5Y,85.099999999999994
5Y,7Y,83.799999999999997
5Y,10Y,82.299999999999997
5Y,15Y,79.700000000000003
5Y,20Y,78.700000000000003
5Y,25Y,78
5Y,30Y,77.700000000000003
6Y,1Y,88.299999999999997
6Y,2Y,87.099999999999994
6Y,3Y,86.5
6Y,4Y,85.599999999999994
