Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,80.089999999999989,86.930000000000007,76.209999999999994,65.810000000000002,63.100000000000001,60.869999999999997,59.040000000000006
3M,86.820000000000007,89.150000000000006,79.450000000000003,69.540000000000006,66.629999999999995,64.47999999999999,63.490000000000002
6M,91.609999999999999,92.180000000000007,81.190000000000012,72.920000000000002,69.740000000000009,67.469999999999999,66.219999999999999
9M,94.519999999999996,92.859999999999999,82.210000000000008,74.269999999999996,71.430000000000007,69.390000000000001,68.010000000000005
1Y,97.069999999999993,93.609999999999999,83.399999999999991,75.530000000000001,72.900000000000006,70.910000000000011,69.629999999999995
2Y,93.430000000000007,89.990000000000009,83.030000000000001,77.049999999999997,74.670000000000002,73.310000000000002,72.200000000000003
3Y,90.019999999999996,87.549999999999997,81.849999999999994,77.600000000000009,75.210000000000008,74.039999999999992,73.099999999999994
5Y,85.450000000000003,83.840000000000003,80.590000000000003,77.629999999999995,75.079999999999998,74.049999999999997,73.169999999999987
7Y,82.409999999999997,81.700000000000003,79.5,77.299999999999997,74.579999999999998,73.579999999999998,72.75
10Y,81.079999999999998,80.060000000000002,78.580000000000013,76.049999999999997,73.359999999999999,72.409999999999997,71.509999999999991
15Y,79.030000000000001,78.440000000000012,76.150000000000006,73.180000000000007,70.440000000000012,69.439999999999998,68.810000000000002
20Y,77.260000000000005,76.88000000000001,73.209999999999994,70.5,67.709999999999994,66.890000000000001,66.5
30Y,71.75,73.689999999999998,68.579999999999998,65.019999999999996,62.670000000000002,62.030000000000001,61.909999999999997
