Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,108.75,123.14,111.77,98.66,95.37,92.33000000000001,85.46
3M,105.68,105.82000000000001,96.14,88.49000000000001,83.67,79.49,77.4
6M,105.97,105.24,89.83999999999999,80.14,77.11,74.81,73.19000000000001
9M,104.67,100.39,88.55,80.24000000000001,77.58,75.50999999999999,73.94000000000001
1Y,102.14,96.55,87.66,80.07000000000001,77.57000000000001,75.71000000000001,74.26
2Y,93.78999999999999,91.38000000000001,84.46,78.83,77.23,76.2,75.27000000000001
3Y,88.51,87.92999999999999,82.79,78.27,76.2,75.07,74.46
5Y,84.1,84.36,81.05,77.79,75.36,74.36,73.60000000000001
7Y,81.75,81.86,80.05,77.28,74.58,73.52,73.03999999999999
10Y,80.36,79.57000000000001,77.9,74.62,72.37,71.77,70.73
15Y,78.71000000000001,78.21,75.5,71.82,69.24,68.35000000000001,68.22999999999999
20Y,76.71000000000001,76.59,72.4,69.03999999999999,66.60000000000001,66.07,66.06
30Y,71.64,73.93,68.08,64.23,62.25000000000001,61.790000000000006,61.1
