Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,176.97,185.45999999999998,179.97,171.22,167.44,164.3,156.36
3M,167.55,155.57999999999998,151.51,142.09,134.47,127.83,121.72
6M,151.38,143.35999999999999,128.45,123.09,115.29,108.5,109.66
9M,142.07,133.63,120.7,116.03999999999999,110.45000000000002,105.77000000000001,105.17
1Y,131.97,123.56,113.1,108.50999999999999,105.08000000000001,102.4,100.28
2Y,112.9,115.15,104.99,102.01,98.54,96.24000000000001,95.37
3Y,109.5,107.7,101.36,99.26,95.59,93.25999999999999,92.34
5Y,103.79,100.97,98.62,97.27,93.84,92.05,91.00999999999999
7Y,99.7,99.35,96.24,95.78999999999999,92.88,91.76,90.78
10Y,96.58,95.88000000000001,95.45,93.38,90.41,89.24,88.27
15Y,92.67,93.57000000000001,91.57,89.81,86.38000000000001,84.78,84.45
20Y,90.11,91.14,87.47,86.1,82.63,81.15,80.39
30Y,83.45,86.05999999999999,81.75,78.07,74.94,73.66,74.42999999999999
