Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,72.56,88.37,78.1,65.71000000000001,61.6,58.02,55.23
3M,77.15,86.75,78.28,68.94,65.17,62.239999999999995,60.339999999999996
6M,88.21,90.55,81.50999999999999,73.03999999999999,69.72,67.32,65.45
9M,92.58,91.15,82.92,75.05,72.14,69.99,68.29
1Y,95.53,92.64999999999999,84.69,76.79,74.09,72.14,70.63
2Y,94.19,90.97,84.67999999999999,78.38,76.31,74.97,73.92
3Y,91.03,88.75999999999999,83.94,79.30999999999999,77.08,75.95,75.05999999999999
5Y,87.08999999999999,86.16999999999999,82.63,79.86000000000001,77.35000000000001,76.39,75.54
7Y,84.37,84.08,81.96000000000001,79.67999999999999,76.98,76.01,75.2
10Y,82.88,82.08,80.80000000000001,78.25,75.64999999999999,74.76,73.84
15Y,80.94,80.31,78.09,75.16,72.3,71.18,70.86
20Y,78.62,78.25,74.96,72.34,69.57000000000001,68.77,68.35
30Y,72.94999999999999,75.16000000000001,70.19999999999999,66.61,64.33000000000001,63.720000000000006,63.660000000000004
