Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,90.85,96.94,86.11,76.17,73.81,71.82,67.96000000000001
3M,94.63000000000001,93.6,83.58,74.42,71.19999999999999,68.64999999999999,67.74
6M,96.47,96.64,82.7,75.31,71.79,69.13,68.27000000000001
9M,97.95,95.7,83.31,75.59,72.63000000000001,70.43,69.29
1Y,99.14,94.95,84.06,75.89999999999999,73.34,71.37,70.24
2Y,93.15,89.83,82.72999999999999,76.76,74.46000000000001,73.15,72.03
3Y,89.07,87.06,81.2,76.9,74.57000000000001,73.41,72.55
5Y,84.26,83.03,79.81,76.63,74.13000000000001,73.13,72.28
7Y,81.32,80.72,78.63,76.19,73.53,72.57000000000001,71.76
10Y,80.1,79.08,77.42,74.7,72.07000000000001,71.17999999999999,70.28
15Y,78.14,77.55000000000001,75.11,71.91000000000001,69.24000000000001,68.31,67.75
20Y,76.47,76.08,72.2,69.25999999999999,66.58,65.84,65.58
30Y,71.14,73.1,67.72,64.09,61.84,61.26,60.959999999999994
