Expiry,1Y,2Y,5Y,10Y,15Y,20Y,30Y
1M,75.88,91.02000000000001,84.66,76.26,71.67,67.59,63.62
3M,79.98,89.43,83.89,74.48,70.17,66.82,63.97
6M,91.17999999999999,93.39,85.33,77.4,73.75999999999999,71.11,69.17
9M,95.58,94.05,86.3,78.84,75.65,73.3,71.63000000000001
1Y,98.5,95.56,87.69,80.08,77.17,75.06,73.62
2Y,96.69,93.57000000000001,87.5,81.32000000000001,78.84,77.17999999999999,76.06
3Y,94.28,91.47999999999999,86.60000000000001,82.25999999999999,79.78,78.46,77.47
5Y,90.14,88.72,85.22,82.79,80.17,79.14,78.24000000000001
7Y,87.18,86.78999999999999,84.45,82.53,79.88,79.01,77.98
10Y,85.49,84.72,83.67,81.46000000000001,78.66,77.61,76.77000000000001
15Y,83.13000000000001,82.69,80.68,78.16999999999999,75.12,73.86,73.5
20Y,80.65,80.33,77.4,75.21,72.24000000000001,71.27999999999999,70.67
30Y,74.61999999999999,76.87,72.36,68.85000000000001,66.37,65.64,65.9
